File,Path,ENIP_Hits,CIP_Hits,ListIdentity,UDP2222_IO,Malformed,ExpertErrors,ExpertWarnings,BadChecksums,TCP_RST,TCP_Retrans,TCP_LostSeg,CIP_Responses,CIP_ErrorResponses,CIP_ErrorRate,Integrity,IntegrityReasons,Flags
CL5000EIP-Change-Date-Attempt.pcap,pcaps\normal\CL5000EIP-Change-Date-Attempt.pcap,351,267,0,0,0,0,0,0,0,0,0,133,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Change-Port-Configuration-Attempt.pcap,pcaps\normal\CL5000EIP-Change-Port-Configuration-Attempt.pcap,34,16,0,0,0,0,0,0,0,17,1,8,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Change-Time-Attempt.pcap,pcaps\normal\CL5000EIP-Change-Time-Attempt.pcap,702,534,0,0,0,0,0,0,0,0,0,267,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Control-Protocol-Change-Attempt.pcap,pcaps\normal\CL5000EIP-Control-Protocol-Change-Attempt.pcap,3318,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Firmware-Change-Failure.pcap,pcaps\normal\CL5000EIP-Firmware-Change-Failure.pcap,10555,10500,0,0,0,0,0,0,0,0,1,5250,7,0.0013,PROTOCOL_NORMAL,,
CL5000EIP-Firmware-Change.pcap,pcaps\normal\CL5000EIP-Firmware-Change.pcap,10607,10506,0,0,0,0,0,0,0,7,1,5252,2,0.0004,PROTOCOL_NORMAL,,
CL5000EIP-IP-Address-Change-Attempt.pcap,pcaps\normal\CL5000EIP-IP-Address-Change-Attempt.pcap,1247,946,74,0,0,0,0,0,0,1,0,473,186,0.3932,PROTOCOL_NORMAL,,"fuzz_or_invalid:high_cip_error_rate,has_discovery:list_identity"
CL5000EIP-Lock-PLC-Attempt.pcap,pcaps\normal\CL5000EIP-Lock-PLC-Attempt.pcap,519,294,0,0,0,0,0,0,0,0,0,147,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Reboot-or-Restart.pcap,pcaps\normal\CL5000EIP-Reboot-or-Restart.pcap,953,814,0,0,0,0,0,0,0,0,1,407,5,0.0123,PROTOCOL_NORMAL,,
CL5000EIP-Remote-Mode-Change-Attempt.pcap,pcaps\normal\CL5000EIP-Remote-Mode-Change-Attempt.pcap,551,301,0,0,0,0,0,0,0,0,0,150,0,0.0000,PROTOCOL_NORMAL,,
CL5000EIP-Software-Download.pcap,pcaps\normal\CL5000EIP-Software-Download.pcap,953,814,0,0,0,0,0,0,0,0,1,407,5,0.0123,PROTOCOL_NORMAL,,
CL5000EIP-Software-Upload.pcap,pcaps\normal\CL5000EIP-Software-Upload.pcap,901,791,0,0,0,0,0,0,0,0,1,395,5,0.0127,PROTOCOL_NORMAL,,
